object_num,max_cc_time,time_start,time_end,max_cc_val,max_sig,time_diff,worthwhile
131,574.0,565.6,600.8,0.401,2.62,35.2,1
134,-2.4,-18.0,19.6,0.365,2.55,37.6,1
139,-1.2,-8.8,10.4,0.305,2.52,19.2,1
139,1021.6,1000.0,1034.0,0.31,2.66,34.0,1
139,2239.6,2214.8,2313.6,0.365,2.6,98.8,1
140,6.0,-10.4,26.8,0.444,3.32,37.2,1
141,-140.4,-184.4,-108.8,0.352,2.16,75.6,1
152,-15.2,-60.8,58.8,0.401,2.6,119.6,1
152,1561.2,1518.8,1604.8,0.345,2.35,86.0,1
156,1826.0,1807.6,1862.8,0.338,2.47,55.2,1
157,-11.2,-14.8,82.8,0.557,3.44,97.6,1
158,-282.0,-362.4,-255.2,0.499,2.79,107.2,1
160,40.8,4.4,170.0,0.448,2.7,165.6,1
165,1610.8,1599.6,1628.0,0.297,2.21,28.4,1
166,-187.6,-262.4,-24.4,0.436,2.2,238.0,1
166,1891.2,1797.6,2007.6,0.493,2.23,210.0,1
168,-2.8,-6.4,4.4,0.354,2.68,10.8,1
173,-1143.2,-1174.8,-1125.6,0.499,2.47,49.2,1
173,-2.4,-22.8,15.6,0.486,2.97,38.4,1
174,36.8,-11.6,72.0,0.593,3.16,83.6,1
174,2341.6,2304.8,2445.2,0.641,2.94,140.4,1
175,28.0,-17.6,42.0,0.457,3.16,59.6,1
176,8.4,-15.6,39.6,0.257,2.48,55.2,1
187,-0.4,-18.8,30.8,0.493,2.92,49.6,1
189,1026.4,1009.2,1044.0,0.361,2.12,34.8,1
195,2024.4,1973.2,2058.0,0.251,2.12,84.8,1
197,-0.8,-14.4,22.4,0.427,3.26,36.8,1
197,1868.8,1850.8,1906.0,0.317,2.4,55.2,1
206,1.2,-23.6,8.8,0.318,2.44,32.4,1
209,-2.0,-23.2,31.2,0.263,2.3,54.4,1
219,-3.6,-22.4,10.0,0.586,4.27,32.4,1
220,4.0,-15.6,18.0,0.419,2.67,33.6,1
220,138.8,115.6,182.4,0.312,2.09,66.8,1
226,-96.8,-121.6,-62.8,0.569,3.73,58.8,1
231,4.8,-14.4,40.4,0.263,2.29,54.8,1
243,1.2,-38.0,35.2,0.335,2.27,73.2,1
243,817.6,791.2,846.8,0.374,2.53,55.6,1
248,-1082.4,-1152.8,-1063.6,0.441,2.47,89.2,1
248,22.4,-6.8,36.4,0.35,2.15,43.2,1
258,66.4,-20.0,93.2,0.344,2.51,113.2,1
259,-0.4,-24.8,31.2,0.315,2.23,56.0,1
