object_num,max_cc_time,time_start,time_end,max_cc_val,max_sig,time_diff
17,2403.6,2339.2,2422.8,0.46527,3.02911,83.6
18,-1219.2,-1228.0,-1201.6,0.4974,2.36548,26.4
18,-75.6,-99.6,-34.8,0.41609,2.48527,64.8
18,-3.2,-11.2,14.4,0.43384,2.81554,25.6
18,1080.8,1066.0,1098.8,-0.39315,-2.50823,32.8
18,1184.0,1178.8,1196.4,-0.36495,-2.41463,17.6
18,1988.0,1962.0,1994.8,0.48563,2.9332,32.8
21,-975.2,-1078.0,-954.0,0.48979,2.45107,124.0
21,-612.4,-662.0,-590.4,-0.37579,-2.22208,71.6
22,590.0,560.4,616.8,0.44301,2.14008,56.4
22,1724.8,1690.8,1740.4,0.56233,2.96248,49.6
22,2215.2,2180.4,2225.2,0.53688,2.44351,44.8
23,140.0,129.6,170.0,0.61992,3.31598,40.4
24,6.4,-6.8,27.6,0.43267,3.31069,34.4
25,-1118.0,-1172.4,-1067.6,-0.42213,-2.29935,104.8
28,-760.8,-788.8,-738.4,0.57587,2.55688,50.4
28,-337.6,-349.2,-316.4,-0.57898,-2.83342,32.8
28,4.8,-10.0,22.4,0.76029,4.60428,32.4
28,448.8,398.0,478.4,-0.63683,-3.72863,80.4
28,854.8,828.4,876.0,0.57917,3.78925,47.6
28,1264.8,1242.0,1293.2,-0.49629,-2.84857,51.2
28,1931.2,1901.6,1956.4,0.4681,2.90864,54.8
28,2368.4,2346.8,2382.8,-0.4747,-2.66484,36.0
29,2.0,-5.6,34.4,0.33339,2.40698,40.0
30,-103.6,-114.4,-68.0,-0.33309,-2.30487,46.4
30,1022.4,954.0,1041.6,-0.37412,-2.24968,87.6
30,2428.0,2400.4,2440.0,0.49999,2.75847,39.6
31,-952.0,-968.8,-924.4,0.548,2.82632,44.4
31,-593.2,-609.2,-570.8,-0.508,-2.22436,38.4
31,41.6,16.0,64.4,0.41041,2.64386,48.4
31,439.6,431.2,481.2,-0.34196,-2.10762,50.0
31,682.4,670.8,713.6,-0.47604,-2.60881,42.8
31,1952.8,1940.4,1966.4,-0.4395,-2.54376,26.0
31,2324.0,2300.8,2359.6,0.36109,2.24668,58.8
31,2470.4,2440.4,2482.8,0.35314,2.31498,42.4
32,1906.0,1839.2,1960.0,-0.29675,-2.116,120.8
34,-0.4,-7.2,10.4,0.44572,3.16157,17.6
35,-1146.8,-1153.6,-1137.6,-0.67117,-2.87083,16.0
35,-1081.6,-1107.2,-1058.8,-0.69478,-2.8486,48.4
35,-964.4,-1029.6,-941.6,-0.69965,-2.78351,88.0
35,-692.0,-695.6,-638.4,-0.63461,-2.27001,57.2
35,27.6,9.6,76.0,0.64307,3.41379,66.4
35,322.0,272.4,348.4,0.64908,3.68515,76.0
35,708.0,689.2,770.4,0.45556,2.24099,81.2
37,-632.4,-641.2,-615.2,0.58331,2.80951,26.0
37,-385.2,-394.8,-356.8,-0.45332,-2.53074,38.0
37,-320.4,-332.4,-302.8,-0.44893,-2.78471,29.6
37,-0.4,-7.2,6.8,0.59231,3.68577,14.0
37,57.2,50.0,69.6,0.41426,2.68681,19.6
37,261.6,252.0,291.2,-0.38344,-2.68626,39.2
37,1120.0,1112.8,1143.2,0.35978,2.36591,30.4
37,1539.6,1516.4,1561.6,-0.38432,-2.41246,45.2
37,1647.6,1628.8,1669.6,-0.38753,-2.33682,40.8
37,1714.4,1692.4,1723.6,-0.38336,-2.38911,31.2
38,-152.4,-168.8,-129.2,-0.37096,-2.56501,39.6
38,-2.0,-10.0,14.8,0.41602,3.64348,24.8
38,818.4,792.8,836.0,0.29931,2.3121,43.2
39,-2.4,-10.0,7.2,0.67039,3.34714,17.2
39,498.4,443.6,539.2,0.49535,2.30343,95.6
40,-451.6,-464.8,-444.4,-0.45291,-2.82622,20.4
40,-264.4,-277.6,-242.0,-0.43221,-2.91577,35.6
40,-4.4,-16.0,6.4,0.49901,2.76717,22.4
40,2514.4,2495.6,2520.0,-0.33877,-2.28156,24.4
42,1.6,-11.2,8.4,0.44271,3.65535,19.6
42,2486.8,2476.4,2514.8,0.36413,2.20848,38.4
45,-600.0,-639.2,-574.0,-0.39902,-2.35464,65.2
45,-3.2,-26.8,19.2,0.37156,2.46793,46.0
46,-869.2,-895.6,-824.4,-0.54466,-3.36972,71.2
46,-520.4,-571.6,-508.0,0.36895,2.26028,63.6
46,-12.4,-35.6,6.8,0.44328,3.3847,42.4
46,290.8,281.6,314.0,-0.36146,-2.51105,32.4
46,1284.8,1260.4,1301.2,0.3242,2.23448,40.8
46,1427.2,1417.2,1458.4,0.34776,2.3938,41.2
46,1752.8,1726.4,1769.2,-0.44146,-3.25765,42.8
46,1838.8,1817.6,1845.6,-0.4347,-2.98449,28.0
46,2415.2,2399.2,2444.4,0.34631,2.20701,45.2
48,2288.8,2280.4,2320.4,0.49994,2.68308,40.0
49,9.6,-2.8,19.2,0.40583,3.4537,22.0
49,790.4,781.6,808.0,0.28742,2.37553,26.4
49,973.2,953.6,987.6,-0.38034,-2.79999,34.0
50,-545.2,-573.6,-532.4,-0.44364,-2.59422,41.2
50,51.6,25.6,64.8,0.27712,2.14356,39.2
50,136.4,117.2,151.2,0.27945,2.20879,34.0
52,-3.2,-38.8,21.6,0.31972,2.18258,60.4
53,-1036.0,-1051.6,-1020.0,-0.37178,-2.32776,31.6
53,-863.2,-886.0,-842.8,-0.46988,-2.20066,43.2
53,-748.0,-760.0,-739.2,-0.44405,-2.17882,20.8
53,1728.8,1708.4,1756.8,0.31126,2.29944,48.4
53,1925.6,1912.8,1940.4,0.32328,2.40781,27.6
53,2183.2,2172.8,2203.2,-0.28436,-2.21895,30.4
54,-1414.8,-1423.6,-1400.8,0.49555,2.27697,22.8
54,-1210.4,-1215.6,-1202.4,0.47673,2.2337,13.2
54,-904.4,-911.2,-899.6,-0.53794,-2.63,11.6
54,-819.6,-826.4,-809.2,-0.56105,-2.90392,17.2
54,-146.0,-165.6,-130.8,0.40137,2.46837,34.8
54,-2.8,-12.4,59.2,0.44728,2.92899,71.6
54,1510.4,1500.4,1528.8,-0.30267,-2.29496,28.4
54,1731.6,1727.2,1751.6,-0.30743,-2.22646,24.4
54,2430.0,2416.8,2454.0,0.41998,2.9285,37.2
57,8.4,1.6,26.8,0.24582,2.10905,25.2
59,-1248.0,-1264.4,-1239.6,-0.49793,-2.12487,24.8
59,-1204.0,-1212.8,-1181.2,-0.5449,-2.33278,31.6
59,-0.4,-15.2,10.4,0.6875,3.58701,25.6
59,2346.8,2329.2,2362.8,-0.51064,-2.47872,33.6
61,529.6,515.2,549.2,-0.38976,-2.61131,34.0
61,939.6,869.6,978.0,0.41109,2.6312,108.4
61,1429.2,1404.8,1455.6,-0.39445,-2.53538,50.8
61,2470.0,2444.0,2499.6,0.36338,2.5513,55.6
63,-192.8,-242.4,33.2,0.40618,2.28081,275.6
65,-831.6,-838.4,-802.8,0.30131,2.20578,35.6
65,2.0,-7.6,9.6,0.54304,5.32718,17.2
65,2218.8,2193.2,2231.2,0.29976,2.57547,38.0
65,2396.0,2384.0,2409.2,-0.3374,-2.95622,25.2
66,-1446.4,-1461.2,-1403.2,-0.56401,-2.50962,58.0
66,-1294.4,-1319.2,-1283.2,-0.65206,-2.9028,36.0
