0.000000000000000000e+00 1.964615562303586357e-03 1.234819859791166062e-03 8.865125265447092000e-04 1.120309884321281889e-03
1.000000000000000000e+00 8.543531082491935547e-02 4.960485495510245924e-02 3.136980233281079500e-02 2.869704955930194382e-02
2.000000000000000000e+00 4.849954118338844350e-02 2.916480494061024151e-02 2.022436915074177916e-02 1.535855031311937798e-02
3.000000000000000000e+00 5.571449892560369384e-03 3.182738948473124753e-03 2.591214610605118221e-03 3.820488596913166821e-03
4.000000000000000000e+00 1.127343361610094741e-02 6.140399911777002367e-03 3.546108354611164290e-03 3.666975120505510787e-03
5.000000000000000000e+00 1.622356687238246942e-01 1.005150535817208590e-01 6.736582111319570909e-02 4.644469151601385293e-02
6.000000000000000000e+00 2.915976348330641919e-03 4.681450846078398509e-03 5.218306317509502877e-03 1.991825586545559103e-03
7.000000000000000000e+00 1.099173812449919241e-01 4.459829291015373481e-02 3.171489915206127108e-02 2.065193240368294256e-02
8.000000000000000000e+00 1.876304892727190254e-01 1.112449392658705349e-01 8.049551499405095678e-02 5.662679233189769207e-02
9.000000000000000000e+00 1.275391812237496869e-01 7.092882331069018387e-02 3.827468363393591450e-02 2.626172324491682017e-02
1.000000000000000000e+01 4.580456792313061624e-03 4.492681415354722943e-03 1.596148595742163858e-03 9.958240816078909891e-04
1.100000000000000000e+01 9.624476657612925784e-03 5.033299872954286741e-03 4.379540198908292957e-03 3.951451929394783277e-03
1.200000000000000000e+01 5.881250591795051524e-03 4.386427671296754330e-03 4.664380412002811296e-03 3.524465128505978925e-03
1.300000000000000000e+01 5.663136272589868250e-03 4.217541893949084027e-03 3.507108520535145470e-03 3.921986654890814890e-03
1.400000000000000000e+01 3.232909370096789109e-03 2.446987433396290504e-03 1.631720611299319022e-03 8.076924642208829167e-04
1.500000000000000000e+01 8.300358626844919763e-02 3.173206438249608075e-02 1.301368961159444886e-02 9.021053464488365536e-03
1.600000000000000000e+01 5.506491900322203065e-02 1.670335741849252043e-02 8.626771989036011168e-03 8.773813313399025579e-03
1.700000000000000000e+01 5.805516366138897127e-03 3.189019355913882969e-03 3.441392880858762816e-03 2.145594457214766281e-03
1.800000000000000000e+01 1.124232706019577532e-02 6.320834912882161358e-03 6.368912469371993540e-03 6.924787358085464015e-03
1.900000000000000000e+01 2.096062061125630038e-01 1.155065714366374924e-01 4.962709343135675993e-02 3.349700658530635478e-02
